وحاج حكي مثاليات وامه ومابعرف شو ،اخر هم عندكم الوطن والامن بس تسجيل مواقف ومصالح روحوا عملو بلد ،عملو… ,normal
قال جبران باسيل انو أمير قطر كسر الحصار على قطر و إجا شارك بالقمة    ♀    ♀    ♀    ♀ ,normal
صدقت ياصوت لبنان الحر العابق بالنضال والوطنية المحترم وهاب قطب فاعل ونقي من الدروز الشرفا ,normal
متابعةً لزيارة الوزير جبران باسيل الى وارسو، عقدنا هذا الصباح إجتماع عمل بمعية مدير عام وزارة الزراعة أ لويس لحود وحضور السفير…,normal
عودة المياه إلى مجاريرها بين سوريا و الإمارات,normal
هي بتنطبق عليك وزير الصدفه ,normal
نحن نفتخر بسماحة الشيخ نصر الدين الغريب شيخ عقل طائفة الموحدين الدروز صاحب الأيادي البيضاء ونعتز به كممثل,normal
وانت من اين لك هذا ع بنا ابوك معتر مساعد قاعد عم تطلع بشكلات الناس من وين الك كل هالاملاك والمصاري  ,normal
رائع جدا جدا هذا مثل ,normal
نجحنا بقوتنا شكراً فخامة الرئيس ومعالي الوزير جبران باسيل,normal
هذا هو النهج الصحيح ,normal
جبران باسيل مسيحي خيب ظن أبناء دينه وجلدته من المسيحيين اللبنانيين بجميع طوائف المسيحيه,normal
عندما يصبح جبران باسيل رجل دولة ووزير خارجية هذا يعني أننا في اسوأ حالاتنا   زمن التبعية والتعطيل,normal
هو وغيره من العملاء ممن يسمون انفسهم زعماء للعرب هم عملاء لدى الصهيوني والامريكي كفانا قرف اسمه زعماء ,normal
محاسبة لمشنوق  لعماد عثمان عصفور كفل زرزور والتنين طيارين,normal
يحق لهم ما يحق لغيرهم ,normal
بريطانيا ومعها توجهات مرتبة بأوروبا متحمضة من روسيا من بعد قصة سكريبال ترامب انسحب من الاتفاق النووي ومتحمض لإيران وممكن يلاقي دعم لأي عملية أو مقاطعة ضدها بعد ما حل مشكلة كوريا فعلياً محور المقاومة بالرغم من انتصاراته العسكرية وضعه السياس,normal
يا تعتيري  ,normal
لو في دولة اصلا كانوا زجوك الك بالسجن فورا ,normal
يا ولاد الهابلة,abusive
هههه قلن هيك لاصحابك هني عم بقسموها على حالن الحمدالله ما دخلنا بهالقمة يلي طلعت بالاخر كلها كرمال وديع ,normal
ما احمرك ياشلاش الخنزير,abusive
ما حدا بيسترجي يحكي معي هالحكي,normal
ولكن الجواهري الكبير قال سلاما ايها الاسد سلمت ويسلم البلد وتسلم امه فخرت بانك فخر من تلد ,normal
نحنا جماعه ديلفيري م منفهم نترجم كلام المثقفين امثال جبران باسيل اوك,normal
معقولة وصل بهم السفه لهذه الدرجة    ,normal
كل الناس سامعة و قاشعة ما تخمن حالك محجوب عن الرؤية ,normal
وهلق شو هلق صار ضروري يسمع ويعرف جبران باسيل انوا التلت المعطل ما بيشوفوا غير بالاحلام,normal
شكرا أستاذ وهاب دمشق رائعه وشاعرنا النواب ذلك الرائع الجميل وتحية لك ذكرتنا بهم ايها الرائع الجميل شكرا ,normal
و نزار قباني كتب ايضا عن دمشق و هرب منها الى بيروت خوفا من حافظ الأسد فاغتالوا زوجته و كان هو المستهدف,normal
يريد إعمار سوريا والزبالة تطمره في بيروت,normal
التصريح بغض النظر عن فداحته لكم الغباء الذي يحويه فهو يلخص واقع الموارنة المتقهقر منذ نشوء لبنان الكبيرالتصرف على اساس انهم,normal
البيوت الحمرا بل المرجة ، والجامع اشرف وأطهر منك,normal
مين قال جريدة الاخبار هههههننن ,normal
مسمة مش بانتقاد الموقف بالعكس انتقدوا خيي بس بلا شخصي متل ما انتوا دولة ال,normal
رد يا وئام ,normal
من يومهن الشيعة كيوت و اوبن مايندد,normal
يا ريت بيمنعوا الأرغيلة بلبنان، لأن غير هيك ما منعمل ثورة ,normal
والله يا أخي البلد ما بقي منو غير العظم الله يرحم ايام السنيوره طلع اشطر الشيخ ,normal
شكرا لصباط امير قطر ,normal
صباح الابتسامة ,normal
كبير يا معالي الوزير الملك جبران باسيل,normal
شهم ,normal
كذبك يا أيوب بكفي كذب وافتراء بحق جبران باسيل,normal
اكدت المجاهدة فيرا يمين ب انها لم ولن تغار من لقاء جبران باسيل ب وليد المعلم والحب لا يستمر من دون إهتمام,normal
يا ريت عدنا احد في البحرين بيصدح بصوت الحق مثلك تحياتي يا أسد الجبل ,normal
بس يا غالية الوعد الصادق لحاله ما بجيب رئيس جمهورية ولا رئيس وزراء ،,normal
لا يوجد ثوابت يوجد مصالح أنت عراقي وتعيش في أمريكا من أجل مصلحتك فما بالك بدول ,normal
عم بتخيل أشكال الأبواق الجبانة وهي تسمع ماذا يقول نصرالله عن فخامة الرئيس وعن جبران باسيل والله زعلانة عليكم,normal
وافسم بالله انك كبير المنافقين هي قطر اللي دمرت سوريا و السعوديه بتعمل ايه بالوطن العربي بالله عليك كم  ,normal
قال احد اسباب الثلث الضامن يلي بدو يحصل عليه التيار الوطني الحر كرمال حق المسيحي يشرب كحول بالمناطق الاسلامية ♥ ,normal
دخلِك يا زميلتي ، مش حضرته لرفض يسلّم حاله للدولة ؟ وتوفي شاب فداه؟ ,normal
زمن التبعية والتعطيل،يتجسد في سياسة جبران باسيل,normal
كلامك على حق دائماالله يحميك ,normal
يللا املنا كبير ع يد سموه تنفصل الحجاز وتهامة عن نجد,normal
تماماً ولما يشاركوا نفس القناعات بالاخر بيكون الواحد عم يثبت صحة آراءه وبالتالي عم ي حاله,normal
عماد عثمان رمز الفساد وكل مين عم يشد عاايدوا ,normal
بالفيديو نصرالله عن باسيل علاقة مميزة وفي صداقة وصدقية وإحترام وتسريبات ويكيليكس هامة إلي اللي عزز هيدي الصداقة,normal
فخر لطائفتنا وعزتها رجل التواضع والكرم والوعد الصادق  مناشدا باحقاق الحق والعدل ويا ليت المسؤولين في  ,normal
انت كبير وهني صغار ,normal
و صباح الإستيييذ الشريف الوحيد و الأصلي ,normal
رفيقة هيدي ثقافتن ولازم نرد علين بحسب ثقافتن وأخلاقن ,normal
هون معاليك عم تتحدث باسم ايران وسوريا والمقاومة وووووووو ,normal
جبران باسيل زمن التبعية والتعطيل,normal
شعب إذا ضرب الحذاء برأسه صرخ الحذاء ما ذنبي اضربو كما تكونوا يولا عليكم الله يخليلنا امراء الحرب ,normal
في أحلى من انك لما تعرف انو حياتك رح تكون جحيم مع وحدة  تجي تقلك بدنا نترك,normal
انو طلعت صرخت الشعب اللبناني كله و قاعدين بلا شغل و تسكرت محلاتهم بسبب النازحين هلق اذا جبران,normal
جبران باسيل مهضوم كتير قال بدو يعمر سوريا و هوي ببلدو لبنان مش قادر يعمر مجرور,normal
كان لازم ينتظر جبران باسيل ياخده معه يساهم بأعادة اعمار سوريا,normal
هلق رجع لمن قلو الريس تبعو هش قلو مشمو على عيني ؟ ,normal
فيكن تمرقوا ع جسر الكولا بس جرّبوا ما تنطنطوا عليه,normal
صدقت يناسبك جدا جدا ,normal
ماشفت احد يحب جبران باسيل الا جمهور التيار ، اتفق العرب واللبنانيين على كراهية باسيل  ,normal
عيب الكذب كن صادقاً ولو مرة واحده ,normal
وطننا يحتاج الى مسؤولين جدد ,normal
قطر لها سياستها و حساباتها و كن اكيد انه لم يكن ليدعس في لبنان لولا خلافه مع السعودية و علاقته الجيدة ,normal
دبي رزقها الله ب محمد بن راشد عمل على تنميتها وإدارتها كأحسن ما تكون التنمية والإدارة زرتها قبل س… ,normal
انبح ياكلب        ,abusive
انتي غيرانه فسري منيح شو قال إذا منك معلمه انجليزي بلاكي وبلا اعلامك,normal
شو ه النشاط هاد يا حج ,normal
ليه في دولة أصلا غير على الفقير والضعيف  وكانت نتيجته احمد الله يرحمه ,normal
لا تندهي ما في حدا ,normal
كانت بايخة و ما كتير ناجحة لان ما جبتو سيرة الوزير جبران باسيل شي مرة,normal
تحية لفخامة رئيس الجمهورية ولسماحة شيخ عقل طائفة الموحدين الدروز ,normal
بالأذن من وليد بك الصيت لحضرتك والفعل لغيرك بخصوص تقلب المواقف السياسية مش عم نستطيع نلحق على تقلب مواقف الوزير جبران باسيل,normal
منوزع شرف عالكل جبران باسيل التيار الوطني الحر,normal
لا وطن بحاجة لنا ولا حاجة لنا لوطن ,normal
هههه هاي قمة عربية لمساعدة دول الخليج كل عمرو هيك لبنان و رح يضل هيك يا قائد دمت لنا صوت الحق ,normal
لو في قضاء نزيه وما في سلاح متفلت كنت انتي وأشكالك وراء القضبان,normal
مياوم شخص بيشتغل كل يوم ضد جبران باسيل,normal
كذبك يا أيوب,normal
دمشق كانت وسوف تبقى عاصمة الامة ,normal
دعلي، انت مدان باعتذار شديد للشعب الخليجي عامة وشعب المملكة والإمارات بشكل خاصمن أين اتيت… ,normal
لك سيدي الله ياخذه مو مشكلة المشكلة بالجني الداشر العم يكتملي هالحسابات دون ادنى درجة من درجات الادب و اللباقة,normal
والله ما فهم لقطر غيرك يا معالي الوزير تقبل حبي وتقديري   ,normal
مش لمظفر النواب هي يا فهيم  هي لفادي عزام  اذا بيعرف انك سارقها بغباوة بينجلط اساسا هو بهي القصيدة,normal
لا تجازي لك رب يجازي يطويل عمرك معاليك ,normal
مع التحية إلى جبران باسيل والمهرولون العرب,normal
الحق يقال القمة قمة جبران باسيل وبس رجل كل المراحل رجل اكبر من القمة ومن حضر,normal
غيرو الدستور وشوف إذا بكون طائفي بعطيك يلي بدك ياه على فكرة إعادة المسحين مش خطأ للبنان وهذا,normal
لا جدوى من السدود، ودراسات عدة اثبتت من سنوات ان السدود مضرّة وخسارة مالية فادحة ومع هذا تباهى وزير الخارجية والنائب…,normal
عثمان للمحاكمة لا محال ,normal
تجلس المواطنين ع خازوق من قياس …,normal
السوريون استضافوا لبنانيين عشرات السنين هربا من الحرب الأهلية بلبنان ولم يمننوا ذلك عليكم,normal
عاجل جبران باسيل نخص بالشكر أمير قطر الذي كسر الحصار المفروض على بلاده ووصل إلى بيروت,normal
يجب محاسبة كل من زرع الفتن وتاجر بالدين وسيحاسب المسلمين كل من يشوه سمعة الإسلام بتصرفاته المشينة ,normal
لا احد يتقن التخريب وانت موجود يا انت ,normal
هاد فعلا حسابه,normal
 جبران باسيل بدو يعلّم لندن و واشنطن كيفية إدارة بلد من دون موازنة,normal
الحاصباني باعتراف من يقدر عمل الوزراء هوي من افضلهمانت معيار تقييمك للناس بتقيسو بوزير متل سيزار بو خل…,normal
واذا سجنوه بيتعامل معاملة الملوك ,normal
وطننا يحتاج إلى شعب جديد ,normal
هل انتِ شاذة كي تدافعي عن هؤلاء المنحرفين,abusive
قد ما صايرة الأمور خبيصة بهالترندات أوقات بفوت وإقرا شي نص ساعة تا إفهم مين علقان مع مين وعشو علقانين هههه وفزرة,normal
من يستحقها ، الاقوى في بيئته اعتقد واجزم أن جبران باسيل سيكون الاقوى من ناحية التمثيل النيابي,normal
وئام بيعطي شهادات بالفساد العقاب لوهاب وهاب قاتل ابو دياب ,normal
كم تعداد الجيش الاردني؟,normal
هذه التجربة التي اعتبرتها خطوة جيدة شو وضع هول الشخصين اللي صاروا كتاب عدل وهني دون السن القانونية بعمر… ,normal
ميل ياغزيل ويا غزيل ميل حكيم زمانك هههه يا وئام ,normal
جبران باسيل هدد إسرائيل بأمنها وقال إذا كانت إسرائيل تريد حقاً أن تضمن أمنها وهذا من حقها، اذاً عليها أن تتوقف عن الاعتداء…,normal
بدك تقنعني انو النسوان بلا مكياج مش متل الطناجر,normal
كذبك يا أيوب بدو علاج جبران باسيل,normal
ليش ما قاهركن الا الوزير جبران باسيل لو بتفكوا شوي عن سماه منا وجر,normal
كم نحتاج لشرفاء أمثالك حتى يكون لهذا الوطن عز وأمان ,normal
خبر موت شخص من حركة امل و اشخاص مردة و أشخاص ما الن علاقة بس بيكرهو جبران باسيل بعد كلام السيد نصرالله يكسر الص…,normal
يعني ةلمسيحي ما بيتعاطا مخدرات و ما بيتاجر لكن ابن مستشار جبران باسيل يلي نكمش و طلع بواسطة من الوزير كا…,normal
جبران باسيل ب سنين ما جاب كهربا,normal
لبنان لا تخسروه لكي لا تخسروا عروبتكم,normal
تلات رؤسا متقاسمين الصلاحيّات، أكبرهم سنّا ميشال عون ما بيتدخّل بشي بس بذات الوقت توقيعو أساسي لنفا…,normal
و انت منك سياسي؟ وانت لوما جمهورك شلعوطين و نص كنت نجحت     ,normal
نحتاج الى رؤيويين جداد ,normal
التاريخ بيتذكر رجال لهم قراراتهم كلمتهم تبقى لأجيال وأجيال عندهم خط سياسي واحد ما بزيحوا عنه أصحاب رؤيا,normal
وطن يحتاج الى شعب جديد، لانو البشر بتروح وبتجي بس الارض والوطن باقي رغم فساد القوم يلي حاكم فيه هلاء ,normal
ما تبيّن كأنك مأجور مفضوحة صارت الخبرية سورية تشهد أعنف قصف من العدو الصهيوني و انت حاطط راسك بقطر ,normal
صار يرسل وفود ابن الجاهلية بس مين سامع بإسمه بفنزويلا   ,normal
هجوم قوي من وهاب لا تدفع إلا للشر ,normal
كل ما استمتع بسرعة بديهة زميلتي ناديا بساط ببرنامجا مين بيعرف بتزيد عندي القناعة انو هي والبرنامج خلقوا لبعض برافو,normal
عقبال ما نشوف الدولة لافة حبل المشنقة عليك ,normal
الله يمهل ولا يهمل ,normal
هلق لما طلعوا السوريين ضد النظام كانوا كلون ارهابيين ومدفوعين من الخارج وما في واحد منون مدني بريء، بس لما غيرون بيعمل نفس الشي بيكون بطل وعم يواجه الفساد الخ، السؤال ليش؟,normal
اسرائيل ترد على جبران باسيل حديثه لل سي ان ان عن حق اسرائيل هو كلام من باب تمسيح الجوخ وتبيض الطناجر ليصل الى رئاسة الجمهورية,normal
وكله بكياسه يا ولاد الكلب,abusive
لقد احتكمت الى القضاء يا أستاذ وهاب بخصوص حادثة الجاهلية اعتقد انه يجب عليك انتظار التحقيق القضائي قب… ,normal
انو انتي عم تعملي جو تأكدي يا اعلامية مين ورا هيدا الاعلان الممول ورجعي علقي بس عندك عقدة السعودية وعقدة طائفية,normal
ما في حق بيضيع وخاصة حق المظلوم الله يحميك يا كبير ,normal
هودي اللي عرفنا فيهن ههههه وماذا عن غير قطاعات ؟ الله يستر ماذا سيحمل المستقبل من فضائح أخرى ؟ ,normal
معالي الوزير شكرا ,normal
قاتل القتيل وماشي بجنازتو وعم توجه تمني لتاج راسك استحي من دم رفيقك الي انت وشيطانك الاكبر تأمرتو على قتلو ,normal
معالي الوزير كان ناطر شنطة يبعتلو ياها على الجاهلية ما ظبتت معك نطور الرة الجاية ,normal
البلد والشركات عم أفلس صحيح لانه في البلد أمثالك ورؤسائك ومن معك   ,normal
هاد كان في متلو كتير بحلب بشارع التلل,normal
هل يجوز ان تتاجر وتحتمي بدماء مرافقك ,normal
جبران باسيل بدو يعمل متل كميل شمعون وبشير الجميل,normal
و جبران باسيل ما استنكر ، اي معن حق في خيانة,normal
دعوة الشيخ على القمه عملتلو لجنبلاط هزه براسو وهلق بدو ياخد ثئارو بالحكومه بدو يعقدها حتى ينتقم هيدا اول درس له ,normal
كيف كل زمن وإله أتباعه الزقيفة بإيام الإحتلال السوري للبنان، كان أشهرهم ناصر قنديل زال الوجود العسكري وتبخ… ,normal
يا محلا عذاب الغرب من عذاب ايران وما تفعله من عذاب وتنكيل وتجويع وانحطاط اخلاقي لاهل العراق الابي ,normal
لو منو رجل فاسد ما بضل يكشف عن فساده ,normal
المذهب أسدي كلب,abusive
و في رواية أدق ما أزنخ من خلف إلا أبو خلف,normal
جبران بن جرجي باسيل,normal
معك خبر انو بلدة قطر متل ما سميتا مساحتها اكبر من لبنان، لك عيب بقا ارحموا اللبنانية و احترموا حالكم ,normal
والله ماحدا مريض نفسي غيرك الله يشفيك ,normal
جبران باسيل زوج ابنه الرئيس منبوذ من اغلب الاحزاب اللبنانيه فهو مع الرئيس ينفذون اجنده دمشق وايران,normal
سآل زعيمك شو عمل كرمالو مش تسأل جبران باسيل العماااااا بعد في مشاكل بيتكن ما تهمتو فيا,normal
شعب معوّد يحضر ال بدّو يفهم شو حكي جبران باسيل عل ؟؟ مازال أخدتن ساعة حتى ترجموا شو قال وعملوا ردّة فعل وترجموا…,normal
صفقات البلديات ما فهمت والله شو بتقصد، بتقصد صفقة مارسيلينو الحرك مع جبران باسيل ببل…,normal
دفع الاموال مقابل ان لا يتطرق لبنان لسوريا ولكن عون تطرق لها في كلمته فخرج امير قطر بعدها مباشرة     ,normal
لو في دولة كنت انت بالحبس من زمان و نحنا مرتاحين من تغريداتك ,normal
لو فرنجية قادر يعمل رئيس كان عمل أيام الوصاية السورية، لما كان اسمو مطروح بدل التمديد لإميل لحود,normal
أما وزير الخارجية جبران باسيل فكان له جهد حثيث وكبير في التوصل الى صيغة عربية مشتركة تدعو المجتمع الدولي الى تحمل مسؤولياته,normal
بدل ما نجيب لكل وزارة وزير حسب إختصاصه منجيبهن حسب طوايفن وأحزابن هَبَل يهبلنا,normal
هل كلام معالي وزير الخارجيه جبران باسيل في ما يخص موضوع الامام موسى الصدر واثارته في القمه هو دفعه مسبقه لدولة الرئيس ,normal
وقت الي بيثبت القضاء استقلاليته أول انسان متضرر هو المغرد وءام وهاب و أخصامه كما حلفا ,normal
دخلك ليش ما بتسمي حاجي نازل ألغاز، مين الابطال ، شو الخدمات، يا زلمي بق البحصة ولا كل شي بدك تقبض حقو؟ ,normal
ولك يا عمّي خلّولنا شي واحد يوقف كرامة فخامة هلرئيس آخر أيامه حاجتنا بهدلي ,normal
صار من شروطها يدخلوا اخوة سوا,normal
بيستاهل اكتر من هيك ,normal
الحمرنة وراثة او مجهود فردي,normal
فعلاً فعلاً رحم الله وسام الحسن فعلاً كان يميز بين الرجال وأنصاف الرجال إلا انتا ما كان يلاقيلك وصف,normal
ديما اكتر شخص مستفز عا تي في هوا الحريه,normal
حتى بالاقتصاد حمار ,abusive
إحتل فخامة رئيس الجمهورية الجنرال ميشال عون مكانةً قياد…,normal
خليهم القوى الأمنيه كذالك الأمر يفتشو على الرخص الأرتوازيهلا لي عنده حفاره عارف يسترزق ولا متوسط المال عارف يدفع حق بئر مياه ,normal
خلص حبيبي ولا يهمك منفرك بالموضوع ,normal
لعلها الطريق لدولة المواطنة ,normal
لطالما في مين يسوق دول الخليج فاالرحمة على الأمة العربية ,normal
خط الأحمر الوحيد هو القانون يا عمر وكلنا تحته ,normal
جبران باسيل ما يبقيني مستيقظا هو حالة الصمت على الخروقات الإسرائيلية اليومية لاستقلالنا وسيادتنا، لدينا نحو خرقا جويا و…,normal
وئام وهاب دون كيشوت لبنان الا انه معدل حيث ان دون كيشوت الحقيقي كان رجل نبيل يتخيل ما لا وجود له,normal
نريد فقط رجال لديهم من الوطنية وحس المسؤولية لاستبدال طبقة فشلت عند كل استحقاق,normal
كلام صحيح الله يخليلنا ياك ويخلي أمثالك صاحب كلمة الحق ,normal
سوريا لا تعطي شكات بل تعطي الكرامة و عزت النفس و العروبة ,normal
طبعا الرفيقة أسماء من عضام الرقبة و الرد من باب المونة فقط لا غيراي نعم,normal
منوره يا ست الستات ،، هيدا جمال هيدا حضور  طلتك طله ملكات ,normal
رغم الظروف الي عاشها لبنان بالمرحلة السابقة من حرب للإغتيالات وغيره ، ما شفت متل الحالة الي ن… ,normal
ورح يعملولك اكتئاب وتوحد سعد الحريري تاج راسك وتيار المستقبل خلاص لبنان وبيروت التانية شاهدة ع انتصارات رجال الدولة,normal
ما بيستقو الا على لضعاف ,normal
لو فعلا في دولة حضرتك كنت بالحبس هلق بس للاسف ,normal
معاليك هيدي ب شباط سنة بعد سنين من حادثة منتظر الزيدي مع جورج بوش ,normal
عثمان طرف تابع لسعد وليس رجل امن مستقل ينفذ ما يطلب منه معلمه ,normal
لو يا استاذنا الكريم لو كل مين بيحب دمشق اكتر من اهل دمشق بيتخلى عن جنسيتو وبيطلب الجنسية الدمشقية كان البلد بالف خير ,normal
عنجد يا وهاب اوقات بتحط اشيا لابصتك لبص كل انسان بيعرف حاله منيح    ,normal
بشار  حتى الثورة ما بقى تنفع لان ما في توازن قوى ,normal
أعلن المكتب الإعلامي لوزير الخارجية والمغتربين في حكومة تصريف الاعمال جبران باسيل في بيان، أنه تقدم بواسطة وكيله ا…,normal
خليك ع لكل كلمة بيحكيا الزعيم الكبير الكبير وليد بيك جنبلاط قالها منذ يومين صبرنا طويل جدا ,normal
استاذ وئام انت رجل كبير ولك تقديرك ما نحب ان نجرحك بكلمة بس سيدي لي سؤال ايش حشرك في دول أخرى ,normal
نحنا مع إنو القاتل يأخذ عقابه إلى أي جهة وحزب وتيار ومذهب ومرجعية إنتمى وهذا بالنسبة للمرحوم محمد أبو دياب,normal
كلما شوف سكارليت بمقابلة بحسها بدا الصرفة تخلّص لأن تاركة الطبخة عالنار,normal
لو مواطن عادي بنى خيمة قرميد ليستر عائلته لتحركة كل اجهزة الدولة وعندما تنهب مافيا السلطة الاملاك العامة لا تحركوا ساكن ,normal
جبران باسيل ل سيإنإن أمن إسرائيل هو حق,normal
لو بتخرس ولا احلالك انقلع شقفة مجنس لاجئ عندنا,hate
عوى شي جديد,normal
الرئيس السابق لمجلس النواب حسين الحسيني يقول الوزير جبران باسيل لم يقرأ الطائف,normal
عزيزي جبران باسيل بدك تعرف كتييير منيح انو مش شغلتنا نحفظ امن اسرائيل يلي ما منعترف ولن نعترف ب وجودها ابدا,normal
وطن التعايش و الحرية ، وطن الصدق و المحبة هذا كل ما نحن بحاجة إليه لنحصل على هذا الوطن علينا ان نعد شعب واعي… ,normal
عم تحلم،،، ,normal
عجبَكْ هيك استاذ وئام فهمنا انّه الولد العاطل بيجيب لأهله المسبّة بس كتير هيك قلّلوا تهذيب معك يلّلا… ,normal
ما بحبك بس حلوي♥,normal
عيش كتير بتشوف كتير كلنا معك ,normal
عنوان غلط اولا هو ولا مرة حكي عن الثلث,normal
لا يمكن ان يكون هناك ضابط اكبر من الدولة ,normal
معالي الوزير علاء الخواجى مثله كمثل رفيق الحريري عندما كان في السعودية يدير اتفاق الطائف حتى يستفرد به… ,normal
نصرالله كلام وزير الخارجية جبران باسيل عن ضرورة حل مسألة اخفاء الإمام الصدر كان مهماً,normal
أيا تخبيص يا سحر؟,normal
خدوه وبيطلعلكن معو أمير المقعد الشاغر طلال ببلاش ,normal
طول بالك علينا يا حلو ما هني عم يبينو واحد ورا التاني خدلك سنكرز عبكرا بلكي بتروق ,normal
هلأ صرت عروبي ما كل عمرك تابع لإيران و تعليمات الحزب ,normal
وديعة بفواءد عالية لمص ما تبقى من دماء الشعب خليل الكافر في رواية النبي جبران هدم عرش الطغاة… ,normal
يوم ولد ماكرون كان ميشيل عون عقيد ركن و بوتفليقة وزير خارجية و السلطان قابوس كان السلطان قابوس,normal
آلوزير جبران باسيل وزير لبناني فقط لا غير,normal
ونحنا الزينات منحن عبعضنا    ,normal
طول عمري فهمان يا بضاعة,normal
هذهي ثورات شعوب خرجت للمطالبة بلحرية لا تنسبها لهذا الشخص او لتلك الدولة ,normal
وهاب لا يحارب الفساد وهاب يحارب الاشخاص الشرفاء وهو مدفوع لذلك همه الوحيد الهجوم عالرئيس سعد,normal
طيب خلينا بالنص ايران كاميرون,normal
ما شاء الله تحليلك شوربا مثل كل التغريدات؛ ممكن تنورنا يا أستاذ وئام شو هني الخدمات الي ممكن حدن ثاني,normal
وهاب يشكر الرئيس عون ,normal
الفرق بينا وبينكم ياعرب انو نحنا مشرقيون و كلدان و اشور و روميون و سريان نحن ابناء الفينيقيين اسلام ومسيحين نحن اهل المشرق وسكانه الاصليين,normal
سليم عون لا يستطيعون التصويب على ​الرئيس ميشال عون​ فيصوبون على رئيس التيار ​ جبران باسيل​ او علينا، لسنا مكسر عصا لأح…,normal
هيدا اسوأ عهد مرق بتاريخ لبنان,normal
كل الأوطان لها الحق بالأمان أوليس كل الأوطان فيها أطفال و نساء و بشر لا للغة الحرب لا للغة الموت لا للغة الدم لغة الحرب ,normal
